wbs_code,parent_wbs_code,activity_name,work_package,discipline,contractual_start,contractual_finish,current_planned_start,current_planned_finish,duration_days,milestone,unit,total_required_quantity,progress_weight,current_reported_completion_pct,responsible_party,schedule_version,schedule_status,source_document
1.1.2,1.1,Design and Preliminary Activities,Design and Preliminary Activities,Engineering,,,2026-06-25,2026-10-10,108,NO,,,,7,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.1,1.1.2,Development of Executive Design,Design and Preliminary Activities,Engineering,,,2026-06-25,2026-09-22,90,NO,,,,13,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.2,1.1.2,"Early activities design (foundations & strucutres, cabin)",Design and Preliminary Activities,Engineering,,,2026-07-09,2026-09-11,55,NO,,,,5,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.3,1.1.2,Pull- Out Test,Design and Preliminary Activities,Engineering,,,2026-08-13,2026-08-22,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.4,1.1.2,Genio Civile submission of structural design,Design and Preliminary Activities,Engineering,,,2026-09-12,2026-09-12,1,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.5,1.1.2,Genio Civile Approval,Design and Preliminary Activities,Engineering,,,2026-09-13,2026-10-07,25,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.2.6,1.1.2,Construction Design Validation by Client,Design and Preliminary Activities,Engineering,,,2026-10-01,2026-10-10,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3,1.1,Procurement,Procurement,Procurement,,,2026-06-26,2026-10-20,117,NO,,,,56,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.1,1.1.3,"Key Components Procurement (Structures, PV Panel, MV Stations, Inverter)",Procurement,Procurement,,,2026-06-26,2026-08-06,42,NO,,,,86,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.1.1,1.1.3.1,Preparation of Key Components RFQs (incl. Tech. Specs.),Procurement,Procurement,,,2026-06-26,2026-08-02,15,NO,,,,90,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.1.2,1.1.3.1,Key Components RFQs Processes,Procurement,Procurement,,,2026-07-11,2026-08-06,5,NO,,,,90,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.1.3,1.1.3.1,Key Components Validation and Selection,Procurement,Procurement,,,2026-07-20,2026-08-06,0,YES,,,,90,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.1.4,1.1.3.1,Key Components Contracts negotiation and signatures,Procurement,Procurement,,,2026-07-23,2026-08-06,15,NO,,,,80,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.2,1.1.3,Other Components Procurement,Procurement,Procurement,,,2026-09-21,2026-10-20,30,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.2.1,1.1.3.2,Preparation of Other Components RFQs (incl.Tech. Specs.),Procurement,Procurement,,,2026-09-21,2026-09-30,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.2.2,1.1.3.2,Other Components RFQs Processes,Procurement,Procurement,,,2026-10-01,2026-10-05,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.2.3,1.1.3.2,Other Components Validation and Selection,Procurement,Procurement,,,2026-10-06,2026-10-06,1,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.2.4,1.1.3.2,Other Components Contracts negotiation and signatures,Procurement,Procurement,,,2026-10-11,2026-10-20,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3,1.1.3,Early Construction Works Procurement/Sub,Procurement,Procurement,,,2026-06-29,2026-08-08,41,NO,,,,61,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.1,1.1.3.3,Terrain Leveling and Grading,Procurement,Procurement,,,2026-06-29,2026-07-29,5,NO,,,,80,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.2,1.1.3.3,Drainage System Works,Procurement,Procurement,,,2026-06-29,2026-07-30,10,NO,,,,80,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.3,1.1.3.3,Storage and Other Areas preparation,Procurement,Procurement,,,2026-06-29,2026-07-30,10,NO,,,,80,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.4,1.1.3.3,Perimetral & Internal Roads and Site Accesses,Procurement,Procurement,,,2026-06-29,2026-07-30,10,NO,,,,80,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.5,1.1.3.3,Definitive Fence and Gates,Procurement,Procurement,,,2026-06-29,2026-08-06,15,NO,,,,40,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.3.3.6,1.1.3.3,CCTV System & Lighting,Procurement,Procurement,,,2026-06-29,2026-08-08,20,NO,,,,45,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4,1.1,Procurement Lead time,Procurement Lead time,Procurement,,,2026-08-07,2026-11-06,92,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4.1,1.1.4,Key Components Lead time Structures,Procurement Lead time,Procurement,,,2026-08-07,2026-11-05,91,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4.2,1.1.4,Key Components Lead time PV Panel,Procurement Lead time,Procurement,,,2026-08-07,2026-11-06,92,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4.3,1.1.4,Key Components Lead time Foundation pile,Procurement Lead time,Procurement,,,2026-08-07,2026-10-05,60,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4.4,1.1.4,"Key Components Lead time ( MV Stations, Inverter)",Procurement Lead time,Procurement,,,2026-08-07,2026-11-06,92,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.4.5,1.1.4,Other Components Lead time,Procurement Lead time,Procurement,,,2026-09-08,2026-11-06,60,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2,1,MOBILIZATION AND SITE SET-UP,MOBILIZATION AND SITE SET-UP,Civil,,,2026-07-25,2026-10-07,75,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.1,1.2,"Appointments, Documents and Communications","Appointments, Documents and Communications",Civil,,,2026-07-25,2026-10-07,75,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.1.1,1.2.1,"HSE documents predisposition (HSE plan, POS, …)","Appointments, Documents and Communications",Civil,,,2026-07-25,2026-07-31,7,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.1.2,1.2.1,Start of Construction Activities,"Appointments, Documents and Communications",Civil,,,2026-10-07,2026-10-07,0,YES,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2,1.2,Early Construction Works,Early Construction Works,Civil,,,2026-08-03,2026-09-21,50,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.1,1.2.2,Terrain Leveling and Grading,Early Construction Works,Civil,,,2026-08-03,2026-08-12,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.2,1.2.2,Drainage System Works,Early Construction Works,Civil,,,2026-08-03,2026-08-22,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.3,1.2.2,Storage and Other Areas preparation,Early Construction Works,Civil,,,2026-08-03,2026-08-12,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.4,1.2.2,Perimetral & Internal Roads and Site Accesses,Early Construction Works,Civil,,,2026-08-13,2026-08-27,15,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.5,1.2.2,Definitive Fence and Gates,Early Construction Works,Civil,,,2026-08-13,2026-09-11,30,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.2.2.6,1.2.2,CCTV System & Lighting,Early Construction Works,Civil,,,2026-09-02,2026-09-21,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3,1,PV PLANT CONSTRUCTION WORKS,PV PLANT CONSTRUCTION WORKS,,,,2026-09-22,2027-01-09,110,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1,1.3,PV Civil Works,PV Civil Works,Civil,,,2026-10-11,2026-12-01,52,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.1,1.3.1,Transformers Foundations,PV Civil Works,Civil,,,2026-10-11,2026-11-09,30,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.2,1.3.1,Inverters Support Installation,PV Civil Works,Civil,,,2026-11-06,2026-11-20,15,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.3,1.3.1,MV USER Cabin Foundations,PV Civil Works,Civil,,,2026-10-16,2026-11-14,30,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.4,1.3.1,MV USER Cabin Installation,PV Civil Works,Civil,,,2026-11-16,2026-11-16,1,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.5,1.3.1,MV Trenches and Ducting,PV Civil Works,Civil,,,2026-10-19,2026-11-27,40,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.6,1.3.1,LV/AUX Trenches and Ducting,PV Civil Works,Civil,,,2026-11-07,2026-11-26,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.1.7,1.3.1,COM Trenches and Ducting,PV Civil Works,Civil,,,2026-11-12,2026-12-01,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2,1.3,PV Mechanical Works,PV Mechanical Works,Mechanical,,,2026-09-22,2026-12-21,91,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2.1,1.3.2,Pile Marking,PV Mechanical Works,Mechanical,,,2026-09-22,2026-10-01,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2.2,1.3.2,Foundation Piles Ramming,PV Mechanical Works,Mechanical,,,2026-10-07,2026-11-05,30,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2.3,1.3.2,Upper Structure installation,PV Mechanical Works,Mechanical,,,2026-11-06,2026-12-15,40,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2.4,1.3.2,PV Modules Installation,PV Mechanical Works,Mechanical,,,2026-11-16,2026-12-19,34,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.2.5,1.3.2,Control Systems Installation,PV Mechanical Works,Mechanical,,,2026-12-07,2026-12-21,15,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3,1.3,PV Electrical Works,PV Electrical Works,Electrical,,,2026-10-28,2027-01-09,74,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.1,1.3.3,Electrical Equipment Installation,PV Electrical Works,Electrical,,,2026-11-22,2026-12-30,39,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.1.1,1.3.3.1,String Combiner Boxes Installation,PV Electrical Works,Electrical,,,2026-12-16,2026-12-25,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.1.2,1.3.3.1,CCI/Monitoring System Installation,PV Electrical Works,Electrical,,,2026-11-22,2026-11-26,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.1.3,1.3.3.1,Meteo Station Installation,PV Electrical Works,Electrical,,,2026-12-26,2026-12-30,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.1.4,1.3.3.1,MV Panels Installation in MV User Cabin,PV Electrical Works,Electrical,,,2026-11-22,2026-11-26,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2,1.3.3,Cables Laying,PV Electrical Works,Electrical,,,2026-10-28,2026-12-25,59,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.1,1.3.3.2,Earthing Bare Conductor Laying,PV Electrical Works,Electrical,,,2026-10-28,2026-12-01,35,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.2,1.3.3.2,MV Cables Laying,PV Electrical Works,Electrical,,,2026-11-21,2026-12-10,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.3,1.3.3.2,LV AC Cable Laying,PV Electrical Works,Electrical,,,2026-11-12,2026-12-01,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.4,1.3.3.2,LV DC Cable Laying (Distribution),PV Electrical Works,Electrical,,,2026-11-06,2026-12-15,40,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.5,1.3.3.2,LV DC Cable Laying (Strings),PV Electrical Works,Electrical,,,2026-11-16,2026-12-25,40,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.6,1.3.3.2,AUX Cables Laying,PV Electrical Works,Electrical,,,2026-11-22,2026-12-01,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.2.7,1.3.3.2,COM Cables Laying,PV Electrical Works,Electrical,,,2026-12-02,2026-12-06,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3,1.3.3,Cables Connections,PV Electrical Works,Electrical,,,2026-12-02,2027-01-09,39,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.1,1.3.3.3,MV Cables Jointing,PV Electrical Works,Electrical,,,2026-12-11,2026-12-30,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.2,1.3.3.3,MV Cables Terminations and Connections,PV Electrical Works,Electrical,,,2026-12-14,2027-01-02,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.3,1.3.3.3,Connection User Cabin and Delivery Cabin,PV Electrical Works,Electrical,,,2027-01-03,2027-01-04,2,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.4,1.3.3.3,LV AC Cable Connections,PV Electrical Works,Electrical,,,2026-12-02,2026-12-06,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.5,1.3.3.3,LV DC Cable Connections (Distribution),PV Electrical Works,Electrical,,,2026-12-26,2027-01-04,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.6,1.3.3.3,LV DC Cable +Modules Connections (Strings),PV Electrical Works,Electrical,,,2026-12-09,2026-12-28,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.7,1.3.3.3,AUX Cables Connections,PV Electrical Works,Electrical,,,2026-12-31,2027-01-04,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.8,1.3.3.3,COM Cables Connections,PV Electrical Works,Electrical,,,2026-12-31,2027-01-04,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.9,1.3.3.3,"Main Earthing Connections (Structures, cabins)",PV Electrical Works,Electrical,,,2026-12-02,2026-12-11,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.3.3.3.10,1.3.3.3,Minor Earthing Connections,PV Electrical Works,Electrical,,,2026-12-31,2027-01-09,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4,1,COLD TESTS/COLD COMMISSIONING,COLD TESTS/COLD COMMISSIONING,Commissioning,,,2026-12-14,2027-02-04,53,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.1,1.4,Mechanical Works Cold Tests,Mechanical Works Cold Tests,Commissioning,,,2026-12-20,2026-12-29,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.1.1,1.4.1,Structures Visual Inspection,Mechanical Works Cold Tests,Commissioning,,,2026-12-20,2026-12-21,2,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.1.2,1.4.1,Structures (Cold commissioning),Mechanical Works Cold Tests,Commissioning,,,2026-12-22,2026-12-29,8,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2,1.4,Electrical Works Cold Tests,Electrical Works Cold Tests,Commissioning,,,2026-12-14,2027-01-17,35,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.1,1.4.2,MV Works Cold Tests,Electrical Works Cold Tests,Commissioning,,,2026-12-24,2027-01-12,20,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.1.1,1.4.2.1,MV Cables Insulation Tests,Electrical Works Cold Tests,Commissioning,,,2026-12-24,2027-01-02,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.1.2,1.4.2.1,MV Relays Setting and Tests,Electrical Works Cold Tests,Commissioning,,,2027-01-03,2027-01-12,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.2,1.4.2,LV AC Works Cold Tests,Electrical Works Cold Tests,Commissioning,,,2027-01-03,2027-01-12,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.2.1,1.4.2.2,LV AC Cables Insulation Tests,Electrical Works Cold Tests,Commissioning,,,2027-01-03,2027-01-07,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.2.2,1.4.2.2,LV Relays AC Settting and Tests,Electrical Works Cold Tests,Commissioning,,,2027-01-08,2027-01-12,5,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.3,1.4.2,PV Strings Cold Tests,Electrical Works Cold Tests,Commissioning,,,2026-12-14,2027-01-07,25,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.3.1,1.4.2.3,"Polarity, VoC, IsC, IV-Curve Tests",Electrical Works Cold Tests,Commissioning,,,2026-12-14,2026-12-28,15,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.4.2.3.2,1.4.2.3,Combiner Boxes and LV DC Cables Tests,Electrical Works Cold Tests,Commissioning,,,2026-12-29,2027-01-07,10,NO,,,,0,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
