document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
034.IT.01APN.SPK.STR.LAY_0,Connessione Stringhe - Planimetria,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
035.IT.01APN.SPK.STR.DRW_0,Connessione Stringhe - Schemi,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
053.IT.01APN.SPK.SCB.TDS_0,String Combiner Boxes - Schede Tecniche,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
054.IT.01APN.SPK.SCB.WID_0,String Combiner Boxes - Schemi & Disegni,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
058.IT.01APN.SPK.LVP.WID_0,Quadri di Parallelo AC - Schemi & Disegni,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
065.IT.01APN.SPK.LVC.LST_1,Cavi BT - Elenco,Engineering,Electrical,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
066.IT.01APN.SPK.LVC.CAL_1,Cavi BT - Relazione di Calcolo,Engineering,Electrical,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
069.IT.01APN.SPK.MVC.LST_0,Cavi MT - Elenco,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
070.IT.01APN.SPK.MVC.CAL_0,Cavi MT - Relazione di Calcolo,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
074.IT.01APN.SPK.PST.WID_0,Cabina di Trasformazione - Schemi & Disegni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
078.IT.01APN.SPK.MVT.TDS_0,Trasformatori MT - Schede Tecniche & Disegni,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
083.IT.01APN.SPK.MVS.SLD_0,Cabina di Trasformazione - Quadri MT - Schemi Unifilari & Funzionali,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
091.IT.01APN.SPK.LVP.SLD_0,Cabina di Trasformazione - Quadri Ausiliari BT - Schemi Unifilari & Funzionali,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
138.IT.01APN.SPK.MVS.SLD_0,Cabine Utente - Quadri MT - Schemi Unifilari & Funzionali,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
148.IT.01APN.SPK.LVP.SLD_0,Cabine Utente - Quadri Ausiliari BT - Schemi Unifilari & Funzionali,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
201.IT.01APN.SPK.GEN.REP_1,Relazione Generale di Progetto,Engineering,Engineering,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
208.IT.01APN.SPK.GEN.LAY_3,Planimetria Generale,Engineering,Engineering,1.1.2.1,3,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
213.IT.01APN.SPK.FEN.LAY_3,Recinzione e Cancelli - Planimetria Sezioni e Dettagli,Engineering,Civil,1.1.2.1,3,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
218.IT.01APN.SPK.GEN.LAY_2,Planimetria Cantiere,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
222.IT.01APN.SPK.ROA.LAY_1,Strada di Accesso - Planimetria e Sezioni,Engineering,Civil,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
224.IT.01APN.SPK.ROA.LAY_1,Strade Interne - Planimetria e Sezioni,Engineering,Civil,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
228.IT.01APN.SPK.GEN.LAY_2,Cavidotti - Planimetria e Sezioni,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
229.IT.01APN.SPK.GEN.DRW_0,Cavidotti - Planimetria e Percosi Cavi,Engineering,Engineering,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
232.IT.01APN.SPK.DRA.LAY_0,Sistema di Drenaggio - Planimetria e Sezioni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
234.IT.01APN.SPK.DRA.REP_0,Relazione idrologica e idraulica,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
236.IT.01APN.SPK.CTV.LAY_1,CCTV - Planimetria e Dettagli,Engineering,Electrical,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
237.IT.01APN.SPK.CTV.DRW_0,CCTV - Planimetria e Percosi Cavi,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
243.IT.01APN.SPK.PST.CAL_0,Cabina di Trasformazione - Disegni Fondazioni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
244.IT.01APN.SPK.PST.CAL_0,Cabina di Trasformazione - Relazione di Calcolo Strutturale,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
245.IT.01APN.SPK.PST.CAL_0,Cabina di Trasformazione - Relazione di Calcolo Strutturale Fondazioni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
246.IT.01APN.SPK.PST.DRW_1,Cabina di Trasformazione - Vie Cavi & Sezioni,Engineering,Civil,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
248.IT.01APN.SPK.OMB.LAY_0,Edificio Manutenzione - Disegni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
249.IT.01APN.SPK.OMB.DRW_0,Edificio Manutenzione - Fondazioni - Disegni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
250.IT.01APN.SPK.OMB.CAL_0,Edificio Manutenzione - Relazione di Calcolo Strutturale,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
251.IT.01APN.SPK.OMB.DRW_0,Edificio Manutenzione - Fondazioni - Relazione di Calcolo Strutturale,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
252.IT.01APN.SPK.OMB.DRW_0,Edificio Manutenzione - Vie Cavi & Sezioni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
253.IT.01APN.SPK.TRK.DRW_0,Strutture & Trackers - Planimetria e Percorsi cavi,Engineering,Mechanical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
254.IT.01APN.SPK.TRK.LAY_0,Strutture & Trackers - Planimetria,Engineering,Mechanical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
260.IT.01APN.SPK.SCB.DRW_1,Supporto String Combiner Box - Disegni & Schemi,Engineering,Electrical,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
263.IT.01APN.SPK.INV.DRW_0,Supporto Inverters - Disegni,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
264.IT.01APN.SPK.INV.DRW_0,Supporto Inverters - Relazione di Calcolo Strutturale,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
272.IT.01APN.SPK.USC.LAY_0,Cabine Utente - Disegni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
273.IT.01APN.SPK.USC.DRW_0,Cabine Utente - Fondazioni - Disegni,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
274.IT.01APN.SPK.USC.CAL_0,Cabine Utente - Relazione di Calcolo Strutturale,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
275.IT.01APN.SPK.USC.CAL_0,Cabine Utente - Fondazioni - Relazione di Calcolo Strutturale,Engineering,Civil,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
276.IT.01APN.SPK.USC.DRW_1,Cabine Utente - Vie Cavi & Sezioni,Engineering,Civil,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
290.IT.01APN.GCI.GCL.LAY_1,Cavidotto di Connessione - Planimetria e Sezioni,Engineering,Grid / DSO,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
291.IT.01APN.GCI.GCL.LAY_1,Cavidotto di Connessione - Planimetria su Base Catastale,Engineering,Grid / DSO,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
292.IT.01APN.GCI.GCL.REP_1,Cavidotto di Connessione - Relazione Tecnica Illustrativa,Engineering,Grid / DSO,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
301.IT.01APN.SPK.COM.LAY_0,Rete Dati e SCADA - Planimetria & Percorsi Cavi,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
302.IT.01APN.SPK.COM.WID_0,Rete Dati e SCADA - Schemi e Disegni,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
