item_name,authority,responsibility,required_for,required_by_date,issued_date,expiry_date,status,document_reference,blocker_impact,comments,source
Collaudo certificate transmitted to the Provincia,Provincia di Alessandria,Client / Contractor,Completion of the works,,,,NOT STARTED,AU clause 12,Statutory obligation at the end of the works.,The commissioning or equivalent certificate must be sent to the Province at the end of the works.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Compensatory works for the Po river park authority,Ente di gestione delle Aree protette del Po Piemontese,Client,Environmental compensation,,,,NOT STARTED,Opinions n.p.g. 52271/2023 and 5987/2024,Binding condition of the authorisation.,The required works must be carried out at the first suitable planting season.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Convenzione for compensatory works with the Comune di Bassignana,Comune di Bassignana,Client,Municipal compensation obligations,,2024-05-08,,ISSUED,"Deliberazione di Giunta n. 35 of 08.05.2024, n.p.g. 32388 of 24.06.2024",,Acknowledged in AU clause 7.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Grid connection works by E-Distribuzione,E-Distribuzione,DSO,Connection of the plant to the MV distribution network,,,,NOT STARTED,POD IT001E108161205; codice rintracciabilita 313043600; codice presa 0632928200003; codice fornitura 108161205,Energisation cannot occur before the connection is built and commissioned.,"Route shared between several producers. Start of the connection works is conditional on submitting evidence of all concessions, easements and public land occupation permits still to be obtained.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
"Concessions, easements and public land occupation permits for the cable route","Competent bodies along the route (Comuni di Bassignana, Pecetto di Valenza, Valenza; road authorities)",Client / DSO,Start of the grid connection works,,,,NOT STARTED,AU clause 2,The connection works cannot start until these are evidenced to the Province.,,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Autorizzazione idraulica,Regione Piemonte - Direzione Opere Pubbliche,Client,Hydraulic works and drainage,,2024-07-25,,ISSUED,n.p.g. 38318 of 25.07.2024,,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Provincial road authority opinion (viabilita provinciale),Provincia di Alessandria,Client,Site access and works on the provincial road,,2024-07-31,,ISSUED,n.p.g. 39116 of 31.07.2024,,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Autorizzazione paesaggistica - Comune di Valenza,Comune di Valenza,Client,Landscape authorisation for works in the municipality,,2024-03-11,,ISSUED,"n. 128 of 11.03.2024, n.p.g. 12250 of 12.03.2024",,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Autorizzazioni paesaggistiche - Comune di Pecetto di Valenza,Comune di Pecetto di Valenza,Client,Landscape authorisation for works in the municipality,,2024-02-19,,ISSUED,n. 1 of 13.04.2023 (n.p.g. 25513 of 29.05.2023) and n. 1 of 19.02.2024 (n.p.g. 8187 of 20.02.2024),,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Fire brigade opinion (Comando Vigili del Fuoco di Alessandria),Comando Vigili del Fuoco di Alessandria,Client,Fire safety compliance,,2023-08-01,,ISSUED,n.p.g. 38413 of 01.08.2023,,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
"Interference clearances with Snam Rete Gas, Italgas Reti, SARPOM and AM+","Snam Rete Gas Spa, Italgas Reti Spa, SARPOM, AM+ Spa",Client / Contractor,Excavation and cable laying near third-party networks,,,,ISSUED,"n.p.g. 5892/2024, 17919/2023, 4781/2024, 5861/2024",Excavation near these networks must respect the stated conditions.,Listed in Allegato A of the AU. Confirm the operating conditions with each operator before excavation.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Archaeological and landscape supervision opinion,"Soprintendenza Archeologia Belle Arti e Paesaggio per le province di AL, AT e CN",Client / Contractor,Excavation works,,2023-02-22,,ISSUED,n.p.g. 8191 of 22.02.2023,,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
ASL and ARPA opinions,ASL di Alessandria; ARPA Dipartimento di Alessandria,Client,Health and environmental compliance,,,,ISSUED,ASL n.p.g. 3672 of 26.01.2023; ARPA n.p.g. 50085 of 13.10.2023,,Listed in Allegato A of the AU.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
