wbs_code,parent_wbs_code,activity_name,work_package,discipline,contractual_start,contractual_finish,current_planned_start,current_planned_finish,duration_days,milestone,unit,total_required_quantity,progress_weight,current_reported_completion_pct,responsible_party,schedule_version,schedule_status,source_document
1.1.2.6,1.1.2,Early activities design,Design and Preliminary Activities,Engineering,2026-05-14,2026-05-23,2026-05-14,2026-05-23,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.2.2,1.1.2,Genio Civile submission of structural design,Design and Preliminary Activities,Engineering,2026-06-24,2026-06-24,2026-06-24,2026-06-24,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.2.3,1.1.2,Genio Civile Approval,Design and Preliminary Activities,Engineering,2026-06-25,2026-07-24,2026-06-25,2026-07-24,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.2.4,1.1.2,Construction Design Validation by Client,Design and Preliminary Activities,Engineering,2026-07-16,2026-07-25,2026-07-16,2026-07-25,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3,1.1,Procurement,Procurement,Procurement,2026-05-18,2026-08-09,2026-05-18,2026-08-09,84,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.1,1.1.3,"Key Components Procurement (Structures, PV Panel, MV Stations, Inverter)",Procurement,Procurement,2026-05-18,2026-07-01,2026-05-18,2026-07-01,45,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.1.1,1.1.3.1,Preparation of Key Components RFQs (incl. Tech. Specs.),Procurement,Procurement,2026-05-18,2026-06-01,2026-05-18,2026-06-01,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.1.2,1.1.3.1,Key Components RFQs Processes,Procurement,Procurement,2026-06-02,2026-06-06,2026-06-02,2026-06-06,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.1.3,1.1.3.1,Key Components Validation and Selection,Procurement,Procurement,2026-06-11,2026-06-11,2026-06-11,2026-06-11,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.1.4,1.1.3.1,Key Components Contracts negotiation and signatures,Procurement,Procurement,2026-06-17,2026-07-01,2026-06-17,2026-07-01,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.2,1.1.3,Other Components Procurement,Procurement,Procurement,2026-07-06,2026-08-09,2026-07-06,2026-08-09,35,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.2.1,1.1.3.2,Preparation of Other Components RFQs (incl.Tech. Specs.),Procurement,Procurement,2026-07-06,2026-07-15,2026-07-06,2026-07-15,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.2.2,1.1.3.2,Other Components RFQs Processes,Procurement,Procurement,2026-07-16,2026-07-20,2026-07-16,2026-07-20,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.2.3,1.1.3.2,Other Components Validation and Selection,Procurement,Procurement,2026-07-26,2026-07-26,2026-07-26,2026-07-26,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.2.4,1.1.3.2,Other Components Contracts negotiation and signatures,Procurement,Procurement,2026-07-31,2026-08-09,2026-07-31,2026-08-09,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4,1.1.3,Early Construction Works Procurement/Sub,Procurement,Procurement,2026-05-24,2026-06-07,2026-05-24,2026-06-07,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.7,1.1.3.4,Terrain Leveling and Grading,Procurement,Procurement,2026-05-24,2026-06-02,2026-05-24,2026-06-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.8,1.1.3.4,Drainage System Works,Procurement,Procurement,2026-05-24,2026-06-02,2026-05-24,2026-06-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.9,1.1.3.4,Storage and Other Areas preparation,Procurement,Procurement,2026-05-24,2026-06-02,2026-05-24,2026-06-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.10,1.1.3.4,Perimetral & Internal Roads and Site Accesses,Procurement,Procurement,2026-05-24,2026-06-02,2026-05-24,2026-06-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.11,1.1.3.4,Definitive Fence and Gates,Procurement,Procurement,2026-05-24,2026-06-02,2026-05-24,2026-06-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.3.4.12,1.1.3.4,TVCC System,Procurement,Procurement,2026-05-24,2026-06-07,2026-05-24,2026-06-07,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.4,1.1,Procurement Lead time,Procurement Lead time,Procurement,2026-06-12,2026-09-18,2026-06-12,2026-09-18,99,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.4.1,1.1.4,"Key Components Lead time (Structures, PV Panel, MV Stations, Inverter)",Procurement Lead time,Procurement,2026-06-12,2026-09-09,2026-06-12,2026-09-09,90,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.4.2,1.1.4,Other Components Lead time,Procurement Lead time,Procurement,2026-08-10,2026-09-18,2026-08-10,2026-09-18,40,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2,1,MOBILIZATION AND SITE SET-UP,MOBILIZATION AND SITE SET-UP,Civil,2026-06-03,2026-08-01,2026-06-03,2026-08-01,60,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3,1.2,Early Construction Works,Early Construction Works,Civil,2026-06-03,2026-07-24,2026-06-03,2026-07-24,52,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.1,1.2.3,Terrain Leveling and Grading,Early Construction Works,Civil,2026-06-03,2026-06-12,2026-06-03,2026-06-12,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.5,1.2.3,Drainage System Works,Early Construction Works,Civil,2026-06-13,2026-07-02,2026-06-13,2026-07-02,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.2,1.2.3,Storage and Other Areas preparation,Early Construction Works,Civil,2026-06-13,2026-06-22,2026-06-13,2026-06-22,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.3,1.2.3,Perimetral & Internal Roads and Site Accesses,Early Construction Works,Civil,2026-06-23,2026-07-07,2026-06-23,2026-07-07,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.4,1.2.3,Definitive Fence and Gates,Early Construction Works,Civil,2026-06-11,2026-07-10,2026-06-11,2026-07-10,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.3.6,1.2.3,TVCC System,Early Construction Works,Civil,2026-07-05,2026-07-24,2026-07-05,2026-07-24,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.1,1.2,"Appointments, Documents and Communications","Appointments, Documents and Communications",Civil,2026-07-25,2026-08-01,2026-07-25,2026-08-01,7,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.1.1,1.2.1,Start of Construction Activities,"Appointments, Documents and Communications",Civil,2026-07-25,2026-07-25,2026-07-25,2026-07-25,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.2.1.2,1.2.1,"HSE documents predisposition (HSE plan, POS, …)","Appointments, Documents and Communications",Civil,2026-07-26,2026-08-01,2026-07-26,2026-08-01,7,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3,1,PV PLANT CONSTRUCTION WORKS,PV PLANT CONSTRUCTION WORKS,,2026-07-25,2026-12-19,2026-07-25,2026-12-19,148,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1,1.3,PV Civil Works,PV Civil Works,Civil,2026-08-04,2026-11-07,2026-08-04,2026-11-07,96,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.1,1.3.1,Inverters/Transformers Foundations,PV Civil Works,Civil,2026-08-04,2026-09-02,2026-08-04,2026-09-02,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.2,1.3.1,Inverters/Transformers Installation,PV Civil Works,Civil,2026-09-10,2026-09-14,2026-09-10,2026-09-14,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.3,1.3.1,MV USER Cabin Foundations,PV Civil Works,Civil,2026-08-09,2026-09-07,2026-08-09,2026-09-07,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.4,1.3.1,MV USER Cabin Installation,PV Civil Works,Civil,2026-09-10,2026-09-10,2026-09-10,2026-09-10,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.5,1.3.1,MV Trenches and Ducting,PV Civil Works,Civil,2026-09-19,2026-11-07,2026-09-19,2026-11-07,50,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.6,1.3.1,LV/AUX Trenches and Ducting,PV Civil Works,Civil,2026-09-24,2026-10-13,2026-09-24,2026-10-13,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.7,1.3.1,COM Trenches and Ducting,PV Civil Works,Civil,2026-09-29,2026-10-18,2026-09-29,2026-10-18,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.1.8,1.3.1,CCTV poles installation,PV Civil Works,Civil,2026-10-09,2026-10-18,2026-10-09,2026-10-18,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2,1.3,PV Mechanical Works,PV Mechanical Works,Mechanical,2026-07-25,2026-11-03,2026-07-25,2026-11-03,102,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.1,1.3.2,Pile Marking,PV Mechanical Works,Mechanical,2026-07-25,2026-08-03,2026-07-25,2026-08-03,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.2,1.3.2,Foundation Piles Ramming,PV Mechanical Works,Mechanical,2026-08-11,2026-09-09,2026-08-11,2026-09-09,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.3,1.3.2,Upper Structure installation,PV Mechanical Works,Mechanical,2026-09-10,2026-10-19,2026-09-10,2026-10-19,40,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.4,1.3.2,PV Modules Installation,PV Mechanical Works,Mechanical,2026-09-13,2026-10-12,2026-09-13,2026-10-12,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.5,1.3.2,PV Modules Scanning,PV Mechanical Works,Mechanical,2026-10-08,2026-10-17,2026-10-08,2026-10-17,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.2.6,1.3.2,Control Systems Installation,PV Mechanical Works,Mechanical,2026-10-20,2026-11-03,2026-10-20,2026-11-03,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3,1.3,PV Electrical Works,PV Electrical Works,Electrical,2026-09-14,2026-12-19,2026-09-14,2026-12-19,97,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.1,1.3.3,Electrical Equipment Installation,PV Electrical Works,Electrical,2026-09-19,2026-11-03,2026-09-19,2026-11-03,46,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.1.1,1.3.3.1,String Combiner Boxes Installation,PV Electrical Works,Electrical,2026-10-20,2026-10-29,2026-10-20,2026-10-29,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.1.2,1.3.3.1,CCI/Monitoring System Installation,PV Electrical Works,Electrical,2026-09-19,2026-09-23,2026-09-19,2026-09-23,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.1.3,1.3.3.1,Meteo Station Installation,PV Electrical Works,Electrical,2026-10-30,2026-11-03,2026-10-30,2026-11-03,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.1.5,1.3.3.1,MV Panels Installation in MV User Cabin,PV Electrical Works,Electrical,2026-09-19,2026-09-23,2026-09-19,2026-09-23,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2,1.3.3,Cables Laying,PV Electrical Works,Electrical,2026-09-14,2026-11-17,2026-09-14,2026-11-17,65,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.1,1.3.3.2,Earthing Bare Conductor Laying,PV Electrical Works,Electrical,2026-09-19,2026-10-23,2026-09-19,2026-10-23,35,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.2,1.3.3.2,MV Cables Laying,PV Electrical Works,Electrical,2026-10-29,2026-11-17,2026-10-29,2026-11-17,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.3,1.3.3.2,LV AC Cable Laying,PV Electrical Works,Electrical,2026-09-29,2026-10-18,2026-09-29,2026-10-18,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.4,1.3.3.2,LV DC Cable Laying (Distribution),PV Electrical Works,Electrical,2026-09-14,2026-10-23,2026-09-14,2026-10-23,40,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.5,1.3.3.2,LV DC Cable Laying (Strings),PV Electrical Works,Electrical,2026-09-20,2026-10-29,2026-09-20,2026-10-29,40,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.6,1.3.3.2,AUX Cables Laying,PV Electrical Works,Electrical,2026-10-09,2026-10-18,2026-10-09,2026-10-18,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.2.7,1.3.3.2,COM Cables Laying,PV Electrical Works,Electrical,2026-10-19,2026-10-23,2026-10-19,2026-10-23,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3,1.3.3,Cables Connections,PV Electrical Works,Electrical,2026-10-13,2026-12-19,2026-10-13,2026-12-19,68,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.1,1.3.3.3,MV Cables Jointing,PV Electrical Works,Electrical,2026-11-18,2026-12-12,2026-11-18,2026-12-12,25,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.2,1.3.3.3,MV Cables Terminations and Connections,PV Electrical Works,Electrical,2026-11-23,2026-12-17,2026-11-23,2026-12-17,25,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.10,1.3.3.3,Connection User Cabin and Delivery Cabin,PV Electrical Works,Electrical,2026-12-18,2026-12-19,2026-12-18,2026-12-19,2,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.3,1.3.3.3,LV AC Cable Connections,PV Electrical Works,Electrical,2026-10-19,2026-10-23,2026-10-19,2026-10-23,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.4,1.3.3.3,LV DC Cable Connections (Distribution),PV Electrical Works,Electrical,2026-10-30,2026-11-08,2026-10-30,2026-11-08,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.5,1.3.3.3,LV DC Cable +Modules Connections (Strings),PV Electrical Works,Electrical,2026-10-13,2026-11-01,2026-10-13,2026-11-01,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.6,1.3.3.3,AUX Cables Connections,PV Electrical Works,Electrical,2026-11-04,2026-11-08,2026-11-04,2026-11-08,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.7,1.3.3.3,COM Cables Connections,PV Electrical Works,Electrical,2026-11-04,2026-11-08,2026-11-04,2026-11-08,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.8,1.3.3.3,"Main Earthing Connections (Structures, cabins)",PV Electrical Works,Electrical,2026-10-24,2026-11-02,2026-10-24,2026-11-02,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.3.3.3.9,1.3.3.3,Minor Earthing Connections,PV Electrical Works,Electrical,2026-11-04,2026-11-13,2026-11-04,2026-11-13,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4,1,COLD TESTS/COLD COMMISSIONING,COLD TESTS/COLD COMMISSIONING,Commissioning,2026-10-13,2027-01-21,2026-10-13,2027-01-21,101,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.1,1.4,Mechanical Works Cold Tests,Mechanical Works Cold Tests,Commissioning,2026-10-13,2026-11-11,2026-10-13,2026-11-11,30,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.1.1,1.4.1,Structures Visual Inspection,Mechanical Works Cold Tests,Commissioning,2026-10-13,2026-10-17,2026-10-13,2026-10-17,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.1.2,1.4.1,Structures (Cold commissioning),Mechanical Works Cold Tests,Commissioning,2026-11-04,2026-11-11,2026-11-04,2026-11-11,8,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2,1.4,Electrical Works Cold Tests,Electrical Works Cold Tests,Commissioning,2026-10-18,2027-01-01,2026-10-18,2027-01-01,76,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.1,1.4.2,MV Works Cold Tests,Electrical Works Cold Tests,Commissioning,2026-12-08,2026-12-27,2026-12-08,2026-12-27,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.1.1,1.4.2.1,MV Cables Insulation Tests,Electrical Works Cold Tests,Commissioning,2026-12-08,2026-12-17,2026-12-08,2026-12-17,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.1.2,1.4.2.1,MV Relays Setting and Tests,Electrical Works Cold Tests,Commissioning,2026-12-18,2026-12-27,2026-12-18,2026-12-27,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.2,1.4.2,LV AC Works Cold Tests,Electrical Works Cold Tests,Commissioning,2026-12-18,2026-12-27,2026-12-18,2026-12-27,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.2.1,1.4.2.2,LV AC Cables Insulation Tests,Electrical Works Cold Tests,Commissioning,2026-12-18,2026-12-22,2026-12-18,2026-12-22,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.2.2,1.4.2.2,LV Relays AC Settting and Tests,Electrical Works Cold Tests,Commissioning,2026-12-23,2026-12-27,2026-12-23,2026-12-27,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
