document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
,Modelling Final P50 /P90,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General General Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Additional General Drawings,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Cable Trenches Trenches Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Cable Trenches Trenches Section,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Compound Area Compound Area Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Customer Substation Customer Cabin Foundation,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Customer Substation Customer Cabin Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural DNO Substation DNO Fibre Connection Layout and Section,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural DNO Substation DNO Substation Foundation,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural DNO Substation DNO Substation Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Main Transformer Main Transformer Compound Foundation,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Main Transformer Main Transformer Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Main Transformer Auxiliary Transformer Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Main Transformer Substation Fence and Gates,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Drainage System Drainage System layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural O&M Container O&M Container (Locale Tecnico) Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural O&M Container O&M Container (Locale Tecnico) Foundations,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Road Access Route,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Road Internal Road Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Road Internal Road Typical Cross Section,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural CCTV pole CCTV pole details,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Modules and Structure Module layout detailed,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Fence and Gates Solar Park Fence and Gates,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Civil and architectural Additional Civil Drawings Additional Civil Drawings,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical General Wiring Block Diagram,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Earthing Routing and Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Customer Cabin Wiring Diagram,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical DNO Substation Wiring Diagram,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical LV Distribution and Control Panel,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Electrical Single Line Diagrams,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical String connection/arrangement,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical String Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Combiner Box Mounting Detail,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Additional Electrical Drawings,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Control System Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Security System Layout,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Control System Block Diagram,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Security System Block Diagram,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Security System Cable Routing,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Security and monitoring system Additional Security and Monitoring Drawings,As-Built,,,,NOT STARTED,,C,YES,3. As Built,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Works Completion Works Completion Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning PV Array testing report,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning DC system wiring Commissioning certificates,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Combiner box Commissioning certificates,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning MVPS Commissioning certificates,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Transformer Commissioning certificates,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning MV/HV Cable Test Report,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Earthing system test results,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Concrete Foundation Cube Test Report,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Protection Relay Commissioning Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning UPS Commissioning Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Battery and Battery Charger Test Reports,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Metering Commissioning Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Circuit Breaker Commissioning Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning CCTV commissioning report,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning CCTV Walking test,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning CCTV Analyser License,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Tests and Commissioning Additional Documentation,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Provisional Acceptance Certificate (PAC) PAC Certificate,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Provisional Acceptance Certificate (PAC) PAC Report,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Provisional Acceptance Certificate (PAC) PAC Calculations,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,EPC Warranty bond EPC Warranty bond,Acceptance,,,,NOT STARTED,,C,YES,5. EPC Contractual,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Operating procedures,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Emergencies,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Planned Maintenance,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Equipment List (BOM),O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Detailed list of spares,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Notices Pay less notices,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Notices LD notices,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Notices Defect Notices,O&M,,,,NOT STARTED,,C,YES,6. O&M,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Control Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Control Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC String Cables - Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC String Cables - Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC MC4 connectors - Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC MC4 connectors - Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC Main DC transfer cables - Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC Main DC transfer cables - Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables DC Main DC transfer cables - Joints Location,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables LV Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables LV Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables MV Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables MV Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Cable Calculations DC,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Cable Calculations AC,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Cables Warranty Directory Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Cables Cables Warranty Directory Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Combiner Boxes General Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Combiner Boxes General Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Combiner Boxes Warranty Directory Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Combiner Boxes Warranty Directory Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Combiner Boxes General Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering Meter Datasheet,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering Meter Calibration Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering CTs Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
